Location,Industry,Edition,Category,Subcategory,Hierarchy_Level,Data_Type,Outlet,Outlet_Hierarchy,Year_date,absolute_volume,Year
2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019-12-31,85767.00022999999,2019
2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020-12-31,93908.73386,2020
2,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021-12-31,101260.69029999999,2021
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007-12-31,115.16816200000001,2007
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008-12-31,216.561325,2008
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009-12-31,332.112551,2009
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010-12-31,336.17614499999996,2010
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011-12-31,383.1917,2011
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012-12-31,322.094113,2012
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013-12-31,317.86322,2013
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014-12-31,346.13707999999997,2014
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015-12-31,510.234851,2015
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016-12-31,645.851022,2016
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017-12-31,930.0787700000001,2017
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018-12-31,1868.641204,2018
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019-12-31,2914.503195,2019
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020-12-31,3514.904806,2020
3,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021-12-31,4081.940425,2021
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007-12-31,33123.757959999995,2007
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008-12-31,34963.7253,2008
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009-12-31,35715.1316,2009
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010-12-31,36792.224689999995,2010
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011-12-31,36446.05986,2011
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012-12-31,36694.034199999995,2012
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013-12-31,34542.25236,2013
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014-12-31,36214.995180000005,2014
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015-12-31,38034.50379,2015
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016-12-31,39649.404220000004,2016
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017-12-31,36815.60827,2017
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018-12-31,37276.687789999996,2018
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019-12-31,37087.54637,2019
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020-12-31,35001.35821,2020
4,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021-12-31,36735.019629999995,2021
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007-12-31,79894.24996,2007
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008-12-31,84741.06112,2008
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009-12-31,94014.10103,2009
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010-12-31,111653.9241,2010
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011-12-31,126401.23250000001,2011
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012-12-31,141145.6047,2012
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013-12-31,153825.82690000001,2013
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014-12-31,163319.167,2014
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015-12-31,176168.1456,2015
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016-12-31,194440.8819,2016
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017-12-31,220143.954,2017
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018-12-31,222969.4804,2018
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019-12-31,237121.1276,2019
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020-12-31,236770.8221,2020
5,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021-12-31,248488.18399999998,2021
6,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007-12-31,18625.255889999997,2007
6,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008-12-31,16704.116540000003,2008
6,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009-12-31,17241.71963,2009
6,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010-12-31,17982.92007,2010
6,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011-12-31,19016.71244,2011
6,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012-12-31,23324.03844,2012
6,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013-12-31,25436.1587,2013
6,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014-12-31,25681.046550000003,2014
6,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015-12-31,27731.690619999998,2015
6,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016-12-31,33058.2045,2016
6,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017-12-31,48138.33717,2017
6,Alcoholic Drinks,2022,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018-12-31,72570.48446,2018
